FileID,Filename,N K,Nerr K,Nth K,Nbec K,N0 K,N1 K,N2 K,N3 K,N4 K,N5 K,OD K,sx K,sxerr K,sy K,syerr K,s1x K,s1xerr K,s1y K,s1yerr K,s2x K,s2xerr K,s2y K,s2yerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,m1x K,m1xerr K,m1y K,m1yerr K,m2x K,m2xerr K,m2y K,m2yerr K,m3x K,m3xerr K,m3y K,m3yerr K,m4x K,m4xerr K,m4y K,m4yerr K,m5x K,m5xerr K,m5y K,m5yerr K,T K,Terr K,T1 K,T1err K,sigma K,params K,N Rb,Nerr Rb,Nth Rb,Nbec Rb,N0 Rb,N1 Rb,N2 Rb,N3 Rb,N4 Rb,N5 Rb,OD Rb,ODerr Rb,sx Rb,sxerr Rb,sy Rb,syerr Rb,s1x Rb,s1xerr Rb,s1y Rb,s1yerr Rb,s2x Rb,s2xerr Rb,s2y Rb,s2yerr Rb,rx Rb,rxerr Rb,ry Rb,ryerr Rb,mx Rb,mxerr Rb,my Rb,myerr Rb,m1x Rb,m1xerr Rb,m1y Rb,m1yerr Rb,m2x Rb,m2xerr Rb,m2y Rb,m2yerr Rb,m3x Rb,m3xerr Rb,m3y Rb,m3yerr Rb,m4x Rb,m4xerr Rb,m4y Rb,m4yerr Rb,m5x Rb,m5xerr Rb,m5y Rb,m5yerr Rb,T Rb,Terr Rb,T1 Rb,T1err Rb,sigma Rb,params Rb,dynamic [N_Rb/(N_K)] {*},dynamic 2,dynamic 3,dynamic 4,user (fesh) {*},user2 (time) {*},user3,Omit,Remark,masked
78,20220111-Rb_K_m_20_11_01-0078,14.939943130288768,0.1697132957928465,,,,,,,,,0.0995460990840175,67.380479482004517,0.44665854722261428,99.495411637528633,0.65954513251781466,,,,,,,,,,,,,278.80945835520106,0.113757,636.08225769108344,0.167976,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0087991154124706962,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,77.654940892783173,0.34491177347677748,,,,,,,,,0.52014485288556356,0.00131004,81.960279157250696,0.21202161908149719,84.215511362294862,0.21786314919590949,,,,,,,,,,,,,823.44549798352216,0.0543226,818.60595724650602,0.0558173,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.018314809995486365,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,5.1978069940137859,,,,2.990000e+01,1.900000e+01,,,,False
79,20220111-Rb_K_m_20_11_01-0079,16.441604466501381,0.18140600870451937,,,,,,,,,0.12732688442269902,61.013945328865091,0.39215191602706906,94.53822134769581,0.60762060284614561,,,,,,,,,,,,,274.47008849064451,0.10042,633.13201165710348,0.155597,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.010177302580590287,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,73.98663494578922,0.34991752199328852,,,,,,,,,0.51276612948710387,0.00137614,78.406957549738749,0.21590511947870253,85.080507847095632,0.23428488001227377,,,,,,,,,,,,,824.47981866608336,0.055375,820.23710418888913,0.0600882,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.018913600982596351,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,4.4999644101968155,,,,2.990000e+01,1.950000e+01,,,,False
80,20220111-Rb_K_m_20_11_01-0080,19.847278377472254,0.17979563537406051,,,,,,,,,0.15702819036197202,65.386731111632315,0.34497678726911546,86.346782864212571,0.45556047111749648,,,,,,,,,,,,,276.27713843454615,0.0884005,633.79563864851639,0.116738,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.01020029118322689,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,73.897408668510352,0.29761600565931995,,,,,,,,,0.54897017574778784,0.00125631,75.868135734931144,0.17778808474540711,82.029823443607725,0.19222851321101186,,,,,,,,,,,,,824.43648650500495,0.0456904,819.09263668088272,0.0494011,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.016677558066050594,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,3.7233018685518089,,,,2.990000e+01,2.000000e+01,,,,False
81,20220111-Rb_K_m_20_11_01-0081,10.585754481153044,0.30981516446641555,,,,,,,,,0.080436551873468889,57.269682518949637,0.97658674716949456,102.64931327166912,1.7504159688949583,,,,,,,,,,,,,271.70805883736045,0.249923,626.09658339389796,0.447958,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.017209856032146281,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,73.708131074902255,0.478547662191872,,,,,,,,,0.57278049456890867,0.00211482,75.42401459143818,0.28481711447238922,78.880247624400084,0.297870372235775,,,,,,,,,,,,,827.58485947146573,0.0732845,810.56463996165678,0.0766427,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.027449428411240893,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,6.962954903793845,,,,2.990000e+01,0.000000e+00,,,,False
82,20220111-Rb_K_m_20_11_01-0082,15.980717960464936,0.22720369385131775,,,,,,,,,0.10096319981638345,71.553406569467739,0.59406115114688873,98.813280522077264,0.820384681224823,,,,,,,,,,,,,276.58007966411452,0.150962,637.88803320716772,0.208475,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.011453162143943011,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,85.569396034905353,0.32457024017610492,,,,,,,,,0.58712726629588052,0.00126347,79.551278657525458,0.17570114955306051,84.701242919360979,0.1870790608227253,,,,,,,,,,,,,825.99044670270951,0.04505,815.83957543786471,0.0479664,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.017452252240020429,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,5.3545401556173786,,,,2.990000e+01,5.000000e-01,,,,False
83,20220111-Rb_K_m_20_11_01-0083,19.387570306538812,0.21337724327580782,,,,,,,,,0.13801876932283305,64.169857140981364,0.41179217845201488,97.783733387164844,0.6274993389844894,,,,,,,,,,,,,277.17040530433889,0.105144,635.86033083467112,0.160221,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.01145490408464196,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,78.753579121255129,0.33747370033350355,,,,,,,,,0.56086530605743146,0.00136458,79.105515798580285,0.19731402248144148,82.06456809900719,0.2046981431543827,,,,,,,,,,,,,823.804253657495,0.0506481,805.95521332912733,0.0525426,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.018501161370805531,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,4.0620654303801054,,,,2.990000e+01,1.000000e+00,,,,False
84,20220111-Rb_K_m_20_11_01-0084,15.070092345158759,0.18010397268166292,,,,,,,,,0.12240104171266829,66.708989498329927,0.46419266462326048,82.443968648989483,0.57368734776973718,,,,,,,,,,,,,267.3782594351178,0.119047,622.67433465995157,0.147128,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.010358421466322931,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,74.947083036021937,0.30261064467881332,,,,,,,,,0.5682808494314624,0.00130433,76.280955852497783,0.17917058393359184,79.933037748730143,0.18776025250554085,,,,,,,,,,,,,811.09910528511205,0.0460741,806.58305856899733,0.04828,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.017138723127453126,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,4.973233164035558,,,,2.990000e+01,1.500000e+00,,,,False
85,20220111-Rb_K_m_20_11_01-0085,19.809098098281304,0.19901650664918361,,,,,,,,,0.12125415899824288,77.249076559158169,0.4533891513943672,94.468542368124218,0.55449665486812594,,,,,,,,,,,,,268.32571550280568,0.115062,620.46820863052312,0.140711,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0098656981780908329,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,71.946296744274804,0.33585545793585675,,,,,,,,,0.53479655282360206,0.00141862,76.97169926544089,0.20906305015087126,80.805235778783327,0.21948518380522727,,,,,,,,,,,,,813.80304402718889,0.0537309,805.72273150635726,0.0564069,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.018826535838537849,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,3.6319824550980986,,,,2.990000e+01,2.000000e+00,,,,False
86,20220111-Rb_K_m_20_11_01-0086,15.838267920926889,0.19436822211997479,,,,,,,,,0.1211715294094058,65.348075374674877,0.46722204238176346,89.348393111581885,0.63881906867027283,,,,,,,,,,,,,271.35907263416703,0.119596,633.69380554992222,0.16352,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.010835462076724589,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,80.683709509525713,0.34755856053887113,,,,,,,,,0.57470201872144278,0.00140559,79.077760445681122,0.19827760010957718,82.080407527045423,0.20581225678324699,,,,,,,,,,,,,819.0592187296977,0.0508963,807.57164443118063,0.0528289,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.01905569711146414,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,5.094225575191806,,,,2.990000e+01,2.500000e+00,,,,False
87,20220111-Rb_K_m_20_11_01-0087,16.557235382469379,0.17625964672400216,,,,,,,,,0.1164986550554422,68.63054276895889,0.42605201750993726,92.504301828320322,0.57426202893257139,,,,,,,,,,,,,269.51347664471371,0.108739,634.92963029873022,0.146565,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0094043654120854556,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,75.218000131373344,0.32303128403302833,,,,,,,,,0.54824115164458898,0.00133743,77.584611387899983,0.19389571994543076,81.75706511543666,0.20433891788125036,,,,,,,,,,,,,811.46073840168378,0.0498071,809.19090351259103,0.0524857,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.017924259284338134,Gauss2d; Andor MAGNIFYING imaging; t_exp = 0.0ms; OD_max = 0.0,4.5429081844794776,,,,2.990000e+01,3.000000e+00,,,,False
